lat	lon	title	description	icon	iconSize	iconOffset
45.35147	-75.6716	GC13ZR2	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>GAG11 - Starry Starry Night</a><br/>Difficulty: 2.0/5  Terrain: 1.5/5</div>	../icons/32x32/unknown.png	24,24	-12,-12
45.38653	-75.688	GCYHZF	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>GAG9 - Brewer's Crotch</a><br/>Difficulty: 2.0/5  Terrain: 2.0/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.35138	-75.62672	GC1E219	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Mending Fences</a><br/>Difficulty: 3.0/5  Terrain: 1.0/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.37668	-75.69117	GC1YT36	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>GAG14 - Public Art</a><br/>Difficulty: 3.0/5  Terrain: 1.5/5</div>	../icons/32x32/unknown.png	24,24	-12,-12
45.37675	-75.6914	GCNBPB	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>GAG6 - SATELLITE PARKING</a><br/>Difficulty: 2.5/5  Terrain: 2.0/5</div>	../icons/32x32/unknown.png	24,24	-12,-12
45.37703	-75.6913	GC20CZ5	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Mystery Primer</a><br/>Difficulty: 5.0/5  Terrain: 1.0/5</div>	../icons/32x32/unknown.png	24,24	-12,-12
45.36697	-75.68964	GC1WYAR	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Mirror, mirror...</a><br/>Difficulty: 2.5/5  Terrain: 1.5/5</div>	../icons/32x32/multi.png	24,24	-12,-12
45.38117	-75.6914	GC1ZGMB	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>GAG14 - Matryoshka</a><br/>Difficulty: 2.0/5  Terrain: 2.0/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.3781	-75.60638	GC178JZ	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Apple Tree</a><br/>Difficulty: 1.5/5  Terrain: 1.5/5</div>	../icons/32x32/unknown.png	24,24	-12,-12
45.40065	-75.67405	GC17ZXE	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Herman's Hamlet</a><br/>Difficulty: 2.0/5  Terrain: 2.0/5</div>	../icons/32x32/unknown.png	24,24	-12,-12
45.37813	-75.69255	GC12BF0	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>GAG10 - Control Yourself</a><br/>Difficulty: 1.0/5  Terrain: 1.0/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.36278	-75.68847	GC14EVK	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Bye Bye Bayview</a><br/>Difficulty: 1.5/5  Terrain: 1.0/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.4041	-75.66747	GC1DBM6	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>GAG12 - Attack of the killer grapes</a><br/>Difficulty: 2.0/5  Terrain: 2.0/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.34523	-75.65297	GC15X4P	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>GAG11 - Wheel Hoss</a><br/>Difficulty: 2.0/5  Terrain: 2.0/5</div>	../icons/32x32/unknown.png	24,24	-12,-12
45.36402	-75.68987	GCHR8D	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Both Sides of the River</a><br/>Difficulty: 3.0/5  Terrain: 2.0/5</div>	../icons/32x32/multi.png	24,24	-12,-12
45.39842	-75.67962	GCTFGQ	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Oink!</a><br/>Difficulty: 1.0/5  Terrain: 4.5/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.40285	-75.62722	GC1WKM4	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>GAG14 - Now that's a fine specimen!</a><br/>Difficulty: 1.5/5  Terrain: 1.5/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.34475	-75.65005	GC15TNF	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Super Sam</a><br/>Difficulty: 1.0/5  Terrain: 1.5/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.37473	-75.69392	GCM21D	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Bluelamb's Bureau de Change</a><br/>Difficulty: 2.0/5  Terrain: 2.0/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
